bucket,n,hit,avg,sharpe_like
p50,2204,0.17831215970961886,-0.018078982830047607,-0.44481714388690313
p60,1763,0.10777084515031196,-0.010650255717337132,-0.5335519337845331
p70,1324,0.0,-0.010853041894733906,-11083.34808839245
p80,897,0.0,-0.010852886363863945,-13743.045493046544
p90,491,0.0,-0.010852912440896034,-13497.55464345139
p95,241,0.0,-0.01085289753973484,-14124.734579853011
