bucket,oof_n,live_n,oof_hit,oof_avg,oof_sharpe
p50,753,0,0.0,-0.010852902196347713,-13484.5428348055
p60,615,0,0.0,-0.010852908715605736,-13821.35154163789
p70,491,0,0.0,-0.010852912440896034,-13497.55464345139
p80,304,0,0.0,-0.010852895677089691,-14529.237380242546
p90,161,0,0.0,-0.010852926410734653,-13838.1284441815
p95,80,0,0.0,-0.010852985084056854,-12540.492078778034
below_p50,0,256,nan,nan,nan
