bucket,n,hit,avg,sharpe_like
p50,735,0.7238095238095238,0.00718383863568306,0.5688250134278506
p60,588,0.7210884353741497,0.0069803535006940365,0.5534971889728316
p70,441,0.7188208616780045,0.006801560986787081,0.5335549221128675
p80,294,0.7244897959183674,0.0070098936557769775,0.535608823894309
p90,147,0.7142857142857143,0.006948063150048256,0.5082963050708942
p95,74,0.7702702702702703,0.008508065715432167,0.6094152826449079
