bucket,count,oof_hit,oof_avg
below_p50,111,nan,nan
p50,0,0.17831215970961886,-0.018078982830047607
p70,0,0.0,-0.010853041894733906
p80,0,0.0,-0.010852886363863945
p90,0,0.0,-0.010852912440896034
p95,0,0.0,-0.01085289753973484
