bucket,n,hit,avg,sharpe_like
p50,9296,0.5972461273666093,0.015808334574103355,0.17897577858263056
p60,7437,0.6330509614091704,0.032714273780584335,0.4272562011095313
p70,5578,0.6206525636428828,0.04367511719465256,0.6319151043893477
p80,3719,0.4780855068566819,0.0338856540620327,0.45865610559716385
p90,1866,0.6152197213290461,0.04636402428150177,0.5355921209927456
p95,930,0.6397849462365591,0.04421907290816307,0.4412959175769039
