symbol,cum_return,max_drawdown,n_trades,win_rate,final_equity,avg_notional,median_effbps_cap
BTC/USDT:USDT,-0.04137103827608668,-0.04137103827608657,11,0.09090909090909091,958.6289617239134,1371.0024718522773,60.0
ETH/USDT:USDT,-0.01806494088907018,-0.01806494088907018,12,0.16666666666666666,981.9350591109298,662.5958926365657,60.0
PEPE/USDT:USDT,-0.012580777414861632,-0.012580777414861744,7,0.14285714285714285,987.4192225851383,258.1526815415367,60.0
SOL/USDT:USDT,-0.015016967397815773,-0.015016967397815884,8,0.0,984.9830326021842,402.77814087425804,60.0
WLFI/USDT:USDT,0.005458280151569905,-0.004207988940294172,8,0.375,1005.45828015157,144.31414534252974,60.0
