ts_open,px_open,side,qty,notional_usd,reason_open,ts_close,px_close,pnl_usd,pnl_frac,reason_close
2025-09-14 03:45:00,1.1782267645933518e-05,short,17528665.467876118,206.52742801854887,signal,2025-09-14 05:40:00,1.1773872438661532e-05,-0.10058783975026084,-0.0004870434920693765,sl
2025-09-14 05:45:00,1.1756874712066336e-05,short,29980494.603948314,352.47691886440117,signal,2025-09-14 09:25:00,1.1766336898594544e-05,-0.7068235434070758,-0.0020053044769124096,sl
2025-09-14 09:30:00,1.1776169099492013e-05,short,33176353.05946923,390.6903437327589,signal,2025-09-14 09:40:00,1.1765938411274157e-05,-0.1292078379677295,-0.0003307167429152296,flip
2025-09-14 09:50:00,1.174742280144914e-05,long,32119277.49299289,377.3187327872568,signal,2025-09-14 11:25:00,1.1554551708162052e-05,-6.6439457169102,-0.017608311328280245,sl
2025-09-14 11:50:00,1.1488229698634813e-05,short,10383153.70365552,119.28405474382541,signal,2025-09-14 16:30:00,1.1326496025826837e-05,1.5371723014796497,0.012886653667004219,sl
2025-09-14 16:45:00,1.1319375507934264e-05,short,20889700.17618909,236.4583605424449,signal,2025-09-14 17:30:00,1.153603490364959e-05,-4.812415419388516,-0.020352062867849727,sl
2025-09-14 17:45:00,1.171325527570354e-05,long,10613013.135586616,124.31293210152089,signal,2025-09-14 19:10:00,1.1564688618508019e-05,-1.7249693589174857,-0.01387602504226012,eod
