ts_open,px_open,side,qty,notional_usd,reason_open,ts_close,px_close,pnl_usd,pnl_frac,reason_close
2025-09-14 03:40:00,115751.02734178177,long,0.012958848266382137,1500.0,signal,2025-09-14 04:05:00,115526.72279726343,-4.704984520738375,-0.0031366563471589165,flip
2025-09-14 04:10:00,115531.59718271332,short,0.012922374135084472,1492.9425232188926,signal,2025-09-14 04:40:00,115806.3773645049,-5.344473829268341,-0.003579825576771212,sl
2025-09-14 04:55:00,115623.95770752909,short,0.012842717391071418,1484.92581247499,signal,2025-09-14 05:10:00,115794.4944771341,-3.973380605115469,-0.0026758108531313523,flip
2025-09-14 05:15:00,115801.47234888583,long,0.012771562498890337,1478.9657415673166,signal,2025-09-14 07:20:00,115647.0411126403,-3.7459036784600928,-0.002532785968720557,flip
2025-09-14 07:25:00,115657.06977550116,short,0.012738926283620194,1473.3468860496266,signal,2025-09-14 07:45:00,115805.2446875723,-3.65673809878478,-0.0024819261053921353,flip
2025-09-14 07:50:00,115816.48463644466,long,0.012674031537990132,1467.8617789014493,signal,2025-09-14 11:30:00,115559.96491236074,-5.010622524393959,-0.0034135520090617247,sl
2025-09-14 11:45:00,115820.5006539701,long,0.009871766453820452,1143.3529330205517,signal,2025-09-14 11:50:00,115635.91719563972,-3.193095012625551,-0.0027927465967922216,flip
2025-09-14 12:10:00,115653.19635048523,short,0.0111836943060577,1293.4299935022948,signal,2025-09-14 16:30:00,115463.81225143184,0.5671686863606964,0.00043849971719377026,sl
2025-09-14 16:35:00,115328.58401406939,short,0.009000960698372817,1038.068052109626,signal,2025-09-14 17:40:00,115659.79066630182,-4.228648429151168,-0.004073575350438198,flip
2025-09-14 17:50:00,115595.10372428322,long,0.010942464236792682,1264.8952884513096,signal,2025-09-14 19:05:00,115317.79133115256,-4.55053460182668,-0.0035975583460336738,sl
2025-09-14 19:10:00,115330.80536730801,short,0.01251390013693686,1443.238181078994,signal,2025-09-14 19:10:00,115474.394632692,-3.529825662082741,-0.0024457679323892137,eod
