strategy,trades,hit_rate,avg_pay,sharpe_like
IND,1522,0.21287779237844942,-0.054617904126644135,-0.7609339856682977
IND+MICRO,1522,0.21287779237844942,-0.054617904126644135,-0.7609339856682977
DL+MICRO,1498,0.014018691588785047,-0.010506412014365196,-3.5979493552766946
