ts,pred,side,model_type
ts,thr,long,kinds_used
2025-09-18 10:07:48+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:08:23+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:09:00+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:09:34+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:10:10+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:10:45+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:11:20+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:11:55+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:12:41+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:13:15+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:13:52+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:14:28+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:15:05+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:15:42+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:16:17+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:16:52+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:17:26+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:18:02+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:18:37+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:19:13+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:19:48+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:20:26+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:21:01+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:21:41+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:22:20+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:22:58+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:23:36+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:24:15+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:24:55+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:25:33+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:26:12+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:26:50+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:27:29+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:28:09+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:28:49+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:29:28+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:30:09+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:30:48+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:31:29+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:32:11+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:32:52+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:33:33+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:34:12+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:34:49+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:35:26+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:36:04+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:36:41+0000,0.430000,long,lstm|tcn|tx
2025-09-18 10:37:21+0000,0.430000,long,lstm|tcn|tx
